Timestamp,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current,SparkMax\\?\usb#vid_0483&pid_a30e&mi_00#6&2f4288c6&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Velocity
1642727187844,11.03125,
1642727187837,,4405.71484375
1642727187735,11.4375,
1642727187727,,4354.2861328125
1642727187718,12.21875,
1642727187711,,4331.4287109375
1642727187614,17.8125,
1642727187608,,4262.857421875
1642727187598,14.15625,
1642727187591,,4228.57177734375
1642727187497,16.46875,
1642727187490,,4125.7138671875
1642727187480,21.59375,
1642727187473,,4114.28564453125
1642727187381,22.96875,
1642727187374,,4245.71435546875
1642727187365,21.09375,
1642727187358,,4302.85693359375
1642727187264,29.84375,
1642727187257,,4502.8583984375
1642727187248,30.65625,
1642727187240,,4502.8583984375
1642727187148,6.0625,
1642727187141,,4560
1642727187131,6.0625,
1642727187125,,4560
1642727187031,7,
1642727187024,,4565.71484375
1642727187014,9.46875,
1642727187007,,4565.71484375
1642727186915,7.09375,
1642727186908,,4565.71484375
1642727186898,10.1875,
1642727186891,,4565.71484375
1642727186797,6.25,
1642727186790,,4560.00048828125
1642727186780,7.96875,
1642727186773,,4554.2861328125
1642727186681,8.90625,
1642727186674,,4560.0009765625
1642727186665,8.3125,
1642727186657,,4560.0009765625
1642727186566,7.78125,
1642727186559,,4560.00048828125
1642727186549,7.96875,
1642727186542,,4560.0009765625
1642727186450,9.5,
1642727186443,,4560.00048828125
1642727186433,9.5,
1642727186427,,4560.00048828125
1642727186335,7.59375,
1642727186329,,4560.0009765625
1642727186319,7.46875,
1642727186311,,4560
1642727186210,8.03125,
1642727186204,,4560.00146484375
1642727186193,8.03125,
1642727186185,,4560.00146484375
1642727186093,8.9375,
1642727186085,,4560.0009765625
1642727186075,6.8125,
1642727186067,,4560.0009765625
1642727185978,9.78125,
1642727185969,,4565.71484375
1642727185960,7.6875,
1642727185953,,4565.71484375
1642727185860,9.1875,
1642727185853,,4565.71533203125
1642727185841,8.09375,
1642727185835,,4565.71533203125
1642727185733,7.6875,
1642727185726,,4560.0009765625
1642727185716,7.5,
1642727185708,,4560.0009765625
1642727185616,8.59375,
1642727185609,,4560.00146484375
1642727185599,8.8125,
1642727185592,,4560.00048828125
1642727185498,7.375,
1642727185491,,4560.0009765625
1642727185482,9.34375,
1642727185475,,4554.2861328125
1642727185382,7.90625,
1642727185376,,4560.0009765625
1642727185366,7.53125,
1642727185359,,4554.28564453125
1642727185265,8.375,
1642727185258,,4554.2861328125
1642727185248,7.625,
1642727185241,,4554.2861328125
1642727185150,7.875,
1642727185143,,4554.2861328125
1642727185133,7.875,
1642727185126,,4554.2861328125
1642727185030,10,
1642727185023,,4554.2861328125
1642727185013,10,
1642727185006,,4554.2861328125
1642727184915,7.21875,
1642727184908,,4554.2861328125
1642727184899,10.03125,
1642727184892,,4554.2861328125
1642727184800,7.25,
1642727184793,,4548.572265625
1642727184783,8.8125,
1642727184776,,4554.2861328125
1642727184682,7.53125,
1642727184675,,4548.5712890625
1642727184665,7.9375,
1642727184659,,4548.5712890625
1642727184567,9,
1642727184559,,4554.28564453125
1642727184549,8.25,
1642727184542,,4548.5712890625
1642727184446,9.21875,
1642727184439,,4548.5712890625
1642727184429,7.5,
1642727184422,,4548.5712890625
1642727184329,10.78125,
1642727184322,,4542.857421875
1642727184311,7.5625,
1642727184304,,4542.857421875
1642727184202,7.96875,
1642727184195,,4548.5712890625
1642727184185,7.40625,
1642727184178,,4548.5712890625
1642727184086,6.78125,
1642727184079,,4548.57080078125
1642727184069,7.46875,
1642727184062,,4548.5712890625
1642727183972,6.53125,
1642727183965,,4548.57177734375
1642727183955,7.4375,
1642727183948,,4548.57177734375
1642727183857,8.9375,
1642727183850,,4548.57080078125
1642727183840,6.5625,
1642727183834,,4548.57080078125
1642727183736,11.15625,
1642727183730,,4548.5712890625
1642727183715,6.46875,
1642727183708,,4548.5712890625
1642727183620,9.1875,
1642727183613,,4554.28564453125
1642727183598,7.3125,
1642727183592,,4554.28662109375
1642727183506,8.53125,
1642727183498,,4560.0009765625
1642727183483,7.0625,
1642727183476,,4560.00048828125
1642727183389,7.09375,
1642727183382,,4560.0009765625
1642727183360,7.25,
1642727183353,,4560
1642727183268,7.75,
1642727183261,,4560
1642727183245,8.25,
1642727183238,,4560
1642727183152,10.34375,
1642727183146,,4565.71435546875
1642727183131,10.21875,
1642727183124,,4565.71435546875
1642727183037,8.28125,
1642727183030,,4560
1642727183007,8.09375,
1642727183001,,4565.71484375
1642727182920,6.5,
1642727182913,,4565.71484375
1642727182894,6.5,
1642727182887,,4565.71484375
1642727182795,6.75,
1642727182788,,4571.4296875
1642727182778,8.875,
1642727182772,,4571.4296875
1642727182678,6.59375,
1642727182670,,4571.42919921875
1642727182661,9.1875,
1642727182654,,4571.42919921875
1642727182560,6.625,
1642727182554,,4571.42919921875
1642727182544,7.9375,
1642727182537,,4565.71484375
1642727182446,6.9375,
1642727182439,,4565.7158203125
1642727182428,7.78125,
1642727182420,,4565.71484375
1642727182329,8.71875,
1642727182322,,4565.7158203125
1642727182312,8.71875,
1642727182305,,4565.7158203125
1642727182211,8.90625,
1642727182203,,4571.4296875
1642727182194,8.90625,
1642727182187,,4571.4296875
1642727182095,7.84375,
1642727182088,,4571.4296875
1642727182078,6.9375,
1642727182071,,4571.4296875
1642727181967,6,
1642727181961,,4571.4296875
1642727181951,7.96875,
1642727181943,,4571.4296875
1642727181851,9.65625,
1642727181845,,4571.4296875
1642727181835,6.6875,
1642727181828,,4571.4296875
1642727181732,8.71875,
1642727181726,,4571.4296875
1642727181716,6.3125,
1642727181709,,4571.4296875
